Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PropertyType,PropertySubtype,ConstructionYear,StateBuilding,KitchenType,FacadeCount,FloorCount,EPCScore,HasTerrace,HasGarden,HasKitchen,Open_fire,SwimmingPool,Furnished,BedroomCount,LivingArea,Terrace_Area,Garden_Area,LandWidth,LandSurface,ScrapedURL,PriceType,TypeSale,LifeAnnuitySale
20243089,Flanders,East Flanders,Gent,Gent,9050,Prosper Van Langendonckstraat,342000,APARTMENT,APARTMENT,1949.0,AS_NEW,,2.0,2.0,D,1,0,0,0,0,0,2.0,87.0,10.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9050/20243089,residential_sale,FOR_SALE,0
20233253,Brussels,Brussels,Brussels,Anderlecht,1070,Rue Van Soust 105-107,200000,APARTMENT,APARTMENT,1972.0,GOOD,SEMI_EQUIPPED,2.0,1.0,G,0,0,1,0,0,0,1.0,81.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20233253,residential_sale,FOR_SALE,0
20226849,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,1082,Bon Pasteur,249000,APARTMENT,APARTMENT,,GOOD,INSTALLED,2.0,3.0,C,0,0,1,0,0,0,2.0,98.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20226849,residential_sale,FOR_SALE,0
20226818,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,Rue Révérend Père Pire - Eerwaarde Pater Pirestraat,240000,APARTMENT,APARTMENT,,AS_NEW,INSTALLED,2.0,,,1,0,1,0,0,0,2.0,75.0,1.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20226818,residential_sale,FOR_SALE,0
20226848,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,1080,,269000,APARTMENT,APARTMENT,,,INSTALLED,3.0,3.0,,0,0,1,0,0,0,2.0,90.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1080/20226848,residential_sale,FOR_SALE,0
20226526,Brussels,Brussels,Brussels,Forest,1190,Rue De Fierlant - De Fierlantstraat,250000,APARTMENT,APARTMENT,1960.0,GOOD,NOT_INSTALLED,1.0,,,1,0,1,0,0,0,2.0,90.0,1.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20226526,residential_sale,FOR_SALE,0
20208233,Brussels,Brussels,Brussels,Ixelles,1050,Chaussée de Boondael,349000,APARTMENT,APARTMENT,1980.0,AS_NEW,HYPER_EQUIPPED,2.0,3.0,F,1,0,1,0,0,0,2.0,80.0,2.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20208233,residential_sale,FOR_SALE,0
20233122,Brussels,Brussels,Brussels,Jette,1090,,260000,APARTMENT,APARTMENT,,,USA_SEMI_EQUIPPED,,5.0,G,0,0,1,0,0,0,2.0,96.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20233122,residential_sale,FOR_SALE,0
20207478,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,1082,Rue de Grand Bigard,220000,APARTMENT,APARTMENT,1960.0,GOOD,INSTALLED,,3.0,G,1,0,1,0,0,0,2.0,80.0,5.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20207478,residential_sale,FOR_SALE,0
20206161,Brussels,Brussels,Brussels,UCCLE,1180,,325000,APARTMENT,APARTMENT,1950.0,AS_NEW,USA_HYPER_EQUIPPED,2.0,3.0,C,1,0,1,0,0,0,2.0,75.0,3.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20206161,residential_sale,FOR_SALE,0
20226675,Brussels,Brussels,Brussels,Woluwe-Saint-Pierre,1150,Avenue Capitaine Piret - Kapitein Piretlaan,405000,APARTMENT,APARTMENT,,GOOD,SEMI_EQUIPPED,2.0,,G,0,1,1,0,0,0,2.0,87.0,,1.0,,,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20226675,residential_sale,FOR_SALE,0
20240545,Flanders,Antwerp,Antwerp,HOBOKEN,2660,Emiel de Harvenstraat,269000,APARTMENT,APARTMENT,2006.0,AS_NEW,INSTALLED,,,B,1,0,1,0,0,0,2.0,86.0,25.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20240545,residential_sale,FOR_SALE,0
20226583,Brussels,Brussels,Brussels,Jette,1090,Avenue Henri Liebrecht,249000,APARTMENT,APARTMENT,1967.0,TO_BE_DONE_UP,SEMI_EQUIPPED,,7.0,D,0,0,1,0,0,0,2.0,113.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20226583,residential_sale,FOR_SALE,0
20243094,Brussels,Brussels,Brussels,Etterbeek,1040,Rue des Moissonneurs,185000,APARTMENT,APARTMENT,,GOOD,INSTALLED,3.0,3.0,G,0,0,1,0,0,0,1.0,27.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20243094,residential_sale,FOR_SALE,0
20240524,Flanders,Antwerp,Antwerp,BERCHEM,2600,Fruithoflaan,365000,APARTMENT,APARTMENT,1979.0,GOOD,SEMI_EQUIPPED,,12.0,B,1,0,1,0,0,0,3.0,190.0,36.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20240524,residential_sale,FOR_SALE,0
20243128,Flanders,West Flanders,Brugge,Blankenberge,8370,Prins Karellaan,199000,APARTMENT,APARTMENT,,JUST_RENOVATED,,,,C,0,0,0,0,0,0,1.0,57.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20243128,residential_sale,FOR_SALE,0
20242465,Flanders,Antwerp,Antwerp,Antwerpen,2018,Quinten Matsijslei,375000,APARTMENT,APARTMENT,,,,2.0,,C,0,0,0,0,0,0,3.0,124.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20242465,residential_sale,FOR_SALE,0
20106206,Brussels,Brussels,Brussels,Anderlecht,1070,Avenue Docteur Zamenhof - Dokter Zamenhoflaan,237000,APARTMENT,APARTMENT,,,HYPER_EQUIPPED,1.0,,E,1,0,1,0,0,0,2.0,,8.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20106206,residential_sale,FOR_SALE,0
20243099,Flanders,Antwerp,Turnhout,Geel,2440,Pas,160000,APARTMENT,APARTMENT,1976.0,GOOD,HYPER_EQUIPPED,2.0,,D,1,0,1,0,0,0,2.0,70.0,3.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/geel/2440/20243099,residential_sale,FOR_SALE,0
20233256,Brussels,Brussels,Brussels,Uccle,1180,,595000,APARTMENT,APARTMENT,1966.0,TO_RENOVATE,INSTALLED,2.0,7.0,C,0,0,1,0,1,0,4.0,181.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20233256,residential_sale,FOR_SALE,0
20226805,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,Rue De La Meuse - Maasstraat,249999,APARTMENT,APARTMENT,,,INSTALLED,3.0,,E,1,0,1,0,0,0,2.0,85.0,4.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20226805,residential_sale,FOR_SALE,0
20226794,Brussels,Brussels,Brussels,Koekelberg,1081,Avenue du Château,350000,APARTMENT,APARTMENT,2010.0,AS_NEW,HYPER_EQUIPPED,4.0,8.0,C,1,0,1,0,0,0,3.0,130.0,9.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20226794,residential_sale,FOR_SALE,0
20233269,Brussels,Brussels,Brussels,Uccle,1180,Rue Victor Allard,399000,APARTMENT,APARTMENT,1991.0,GOOD,INSTALLED,2.0,2.0,C,1,0,1,0,0,0,2.0,122.0,4.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20233269,residential_sale,FOR_SALE,0
20233478,Brussels,Brussels,Brussels,BRUXELLES,1000,,339000,APARTMENT,APARTMENT,2000.0,,,4.0,4.0,C,1,0,0,0,0,0,2.0,90.0,25.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20233478,residential_sale,FOR_SALE,0
11265076,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,1082,Drève de l’Aérodrome,275000,APARTMENT,APARTMENT,,GOOD,INSTALLED,2.0,4.0,D,0,0,1,0,0,0,2.0,90.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/11265076,residential_sale,FOR_SALE,0
20226437,Brussels,Brussels,Brussels,Jette,1090,Place Jean Gabin,339000,APARTMENT,APARTMENT,2000.0,AS_NEW,HYPER_EQUIPPED,,,C,1,0,1,0,0,0,2.0,93.0,4.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20226437,residential_sale,FOR_SALE,0
11389181,Flanders,East Flanders,Dendermonde,Dendermonde,9200,Leopoldlaan,139000,APARTMENT,APARTMENT,1971.0,TO_RENOVATE,,,,B,0,0,0,0,0,0,2.0,90.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/dendermonde/9200/11389181,residential_sale,FOR_SALE,0
20242448,Flanders,West Flanders,Roeselare,Roeselare,8800,Zuidstraat,169000,APARTMENT,APARTMENT,1974.0,,,,,B,0,0,0,0,0,0,3.0,105.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20242448,residential_sale,FOR_SALE,0
20242443,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,1082,Place Docteur Schweitzer - Dokter Schweitzerplein,234000,APARTMENT,APARTMENT,,AS_NEW,,2.0,3.0,,1,0,0,0,0,0,2.0,85.0,10.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20242443,residential_sale,FOR_SALE,0
20242455,Brussels,Brussels,Brussels,Saint-Gilles,1060,Avenue des Villas,300000,APARTMENT,APARTMENT,1913.0,TO_RENOVATE,SEMI_EQUIPPED,2.0,4.0,G,1,0,1,0,0,0,4.0,130.0,1.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20242455,residential_sale,FOR_SALE,0
20242417,Wallonie,Hainaut,Thuin,ANDERLUES,6150,Rue Boniface,249000,APARTMENT,APARTMENT,,,NOT_INSTALLED,,1.0,,0,0,1,0,0,0,3.0,97.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlues/6150/20242417,residential_sale,FOR_SALE,0
20216001,Brussels,Brussels,Brussels,Uccle,1180,Clos Andrée Dumont,540000,APARTMENT,APARTMENT,2026.0,AS_NEW,HYPER_EQUIPPED,2.0,4.0,A,1,0,1,0,0,0,3.0,109.0,13.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20216001,residential_sale,FOR_SALE,0
20215814,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,,255000,APARTMENT,APARTMENT,1974.0,GOOD,INSTALLED,2.0,6.0,C,1,0,1,0,0,0,3.0,105.0,6.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20215814,residential_sale,FOR_SALE,0
20215739,Brussels,Brussels,Brussels,MOLENBEEK-SAINT-JEAN,1080,Rue des Bougainvillées 9,285000,APARTMENT,APARTMENT,1997.0,GOOD,SEMI_EQUIPPED,2.0,10.0,C,1,0,1,0,0,0,3.0,,4.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20215739,residential_sale,FOR_SALE,0
20215723,Brussels,Brussels,Brussels,Ixelles,1050,Rue du Conseil,329000,APARTMENT,APARTMENT,1960.0,TO_RENOVATE,INSTALLED,2.0,,E,0,0,1,0,0,0,3.0,93.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20215723,residential_sale,FOR_SALE,0
20215313,Brussels,Brussels,Brussels,Anderlecht,1070,Avenue Des Lilas - Seringenlaan,289000,APARTMENT,APARTMENT,2017.0,AS_NEW,,2.0,,A,1,0,0,0,0,0,1.0,68.0,7.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20215313,residential_sale,FOR_SALE,0
20215410,Brussels,Brussels,Brussels,WOLUWE-SAINT-PIERRE,1150,,435000,APARTMENT,APARTMENT,1930.0,JUST_RENOVATED,INSTALLED,,2.0,D,1,0,1,0,0,0,2.0,78.0,2.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20215410,residential_sale,FOR_SALE,0
20215304,Brussels,Brussels,Brussels,Woluwe-Saint-Lambert,1200,Jozef Van Damstraat,450000,APARTMENT,APARTMENT,2019.0,AS_NEW,HYPER_EQUIPPED,2.0,8.0,B,1,0,1,0,0,0,2.0,80.0,24.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20215304,residential_sale,FOR_SALE,0
20215303,Brussels,Brussels,Brussels,Woluwe-Saint-Pierre,1150,,340000,APARTMENT,APARTMENT,,TO_BE_DONE_UP,SEMI_EQUIPPED,3.0,3.0,E,0,0,1,0,0,0,2.0,80.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20215303,residential_sale,FOR_SALE,0
20241430,Flanders,Antwerp,Mechelen,BERLAAR,2590,Aarschotsebaan,399000,APARTMENT,APARTMENT,2025.0,,INSTALLED,3.0,1.0,,1,1,1,0,0,0,2.0,125.0,36.0,77.0,,,https://www.immoweb.be/en/classified/apartment/for-sale/berlaar/2590/20241430,residential_sale,FOR_SALE,0
20168370,Brussels,Brussels,Brussels,Molenbeek-St-Jean,1080,,209000,APARTMENT,APARTMENT,1967.0,TO_RENOVATE,HYPER_EQUIPPED,,,D,0,0,1,0,0,0,2.0,,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-st-jean/1080/20168370,residential_sale,FOR_SALE,0
20241423,Flanders,Antwerp,Turnhout,Herentals,2200,Lierseweg,210000,APARTMENT,APARTMENT,,,,2.0,,B,1,0,0,0,0,0,2.0,81.0,12.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/herentals/2200/20241423,residential_sale,FOR_SALE,0
20215667,Brussels,Brussels,Brussels,Brussels,1000,Avenue De L'héliport - Helihavenlaan,285000,APARTMENT,APARTMENT,1976.0,GOOD,HYPER_EQUIPPED,1.0,12.0,E,0,0,1,0,0,0,2.0,80.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/brussels/1000/20215667,residential_sale,FOR_SALE,0
20215659,Brussels,Brussels,Brussels,Evere,1140,Goede Herdersstraat,390000,APARTMENT,APARTMENT,2016.0,AS_NEW,HYPER_EQUIPPED,2.0,4.0,C,1,0,1,0,0,1,2.0,89.0,8.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20215659,residential_sale,FOR_SALE,0
20241421,Wallonie,Hainaut,Mons,MONS,7000,Boulevard Kennedy,95000,APARTMENT,APARTMENT,1975.0,GOOD,SEMI_EQUIPPED,,7.0,C,1,0,1,0,0,0,1.0,60.0,3.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/mons/7000/20241421,residential_sale,FOR_SALE,0
20241427,Brussels,Brussels,Brussels,Woluwe-Saint-Lambert,1200,,415000,APARTMENT,APARTMENT,1970.0,AS_NEW,USA_HYPER_EQUIPPED,2.0,8.0,D,1,0,1,0,0,0,3.0,110.0,29.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20241427,residential_sale,FOR_SALE,0
20241416,Wallonie,Namur,Dinant,Dinant,5500,Rue de Givet,164000,APARTMENT,APARTMENT,,JUST_RENOVATED,,,,B,0,0,0,0,0,0,2.0,85.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/dinant/5500/20241416,residential_sale,FOR_SALE,0
20213433,Brussels,Brussels,Brussels,BRUXELLES,1000,,395000,APARTMENT,APARTMENT,1958.0,GOOD,INSTALLED,3.0,5.0,D,1,0,1,0,0,0,1.0,103.0,2.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20213433,residential_sale,FOR_SALE,0
20213432,Brussels,Brussels,Brussels,ETTERBEEK,1040,,395000,APARTMENT,APARTMENT,1958.0,GOOD,INSTALLED,3.0,5.0,D,1,0,1,0,0,0,1.0,103.0,2.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20213432,residential_sale,FOR_SALE,0
20243093,Brussels,Brussels,Brussels,Etterbeek,1040,Rue des Moissonneurs,200000,APARTMENT,APARTMENT,,TO_BE_DONE_UP,SEMI_EQUIPPED,3.0,3.0,,1,0,1,0,0,0,1.0,45.0,1.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20243093,residential_sale,FOR_SALE,0
20213364,Brussels,Brussels,Brussels,Schaerbeek,1030,Rue Colonel Bourg,395000,APARTMENT,APARTMENT,2021.0,AS_NEW,HYPER_EQUIPPED,2.0,6.0,B,1,1,1,0,0,0,2.0,100.0,45.0,65.0,,,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20213364,residential_sale,FOR_SALE,0
20158895,Brussels,Brussels,Brussels,Woluwe-Saint-Pierre,1150,Avenue Orban - Orbanlaan,549000,APARTMENT,APARTMENT,1975.0,,,4.0,3.0,D,1,0,0,0,0,0,3.0,125.0,11.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20158895,residential_sale,FOR_SALE,0
