Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PropertyType,PropertySubtype,ConstructionYear,StateBuilding,KitchenType,FacadeCount,FloorCount,EPCScore,HasTerrace,HasGarden,HasKitchen,Open_fire,SwimmingPool,Furnished,BedroomCount,LivingArea,Terrace_Area,Garden_Area,LandWidth,LandSurface,ScrapedURL,PriceType,TypeSale,LifeAnnuitySale
20240525,Flanders,Antwerp,Antwerp,BERCHEM,2600,Generaal Drubbelstraat,425000,HOUSE,HOUSE,,JUST_RENOVATED,INSTALLED,,2.0,B,1,0,1,0,0,0,3.0,138.0,11.0,,5.0,65.0,https://www.immoweb.be/en/classified/house/for-sale/berchem/2600/20240525,residential_sale,FOR_SALE,0
20243134,Wallonie,Walloon Brabant,Nivelles,CHAUMONT-GISTOUX,1325,,545000,HOUSE,HOUSE,,JUST_RENOVATED,INSTALLED,4.0,,B,0,0,1,0,0,0,3.0,112.0,,,0.0,1519.0,https://www.immoweb.be/en/classified/house/for-sale/chaumont-gistoux/1325/20243134,residential_sale,FOR_SALE,0
20243101,Flanders,West Flanders,Tielt,Meulebeke,8760,,459000,HOUSE,HOUSE,2024.0,GOOD,,3.0,3.0,,0,0,0,0,0,0,3.0,189.0,,,19.0,556.0,https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20243101,residential_sale,FOR_SALE,0
11457614,Flanders,East Flanders,Oudenaarde,Oudenaarde,9700,Dijkstraat,199000,HOUSE,HOUSE,1930.0,,,3.0,,F,1,0,0,0,0,0,2.0,,30.0,,0.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/11457614,residential_sale,FOR_SALE,0
20243130,Flanders,Flemish Brabant,Halle-Vilvoorde,BUIZINGEN,1501,Grensweg,395000,HOUSE,HOUSE,,GOOD,SEMI_EQUIPPED,3.0,,F,1,1,1,0,0,0,2.0,115.0,25.0,50.0,7.0,387.0,https://www.immoweb.be/en/classified/house/for-sale/buizingen/1501/20243130,residential_sale,FOR_SALE,0
20240575,Flanders,West Flanders,Brugge,Sint-Kruis,8310,Brieversweg,449000,HOUSE,HOUSE,,,,4.0,,E,0,0,0,0,0,0,2.0,132.0,,,0.0,1011.0,https://www.immoweb.be/en/classified/house/for-sale/sint-kruis/8310/20240575,residential_sale,FOR_SALE,0
20233513,Brussels,Brussels,Brussels,MOLENBEEK-SAINT-JEAN,1080,,399000,HOUSE,HOUSE,,TO_RENOVATE,INSTALLED,2.0,3.0,G,0,0,1,0,0,0,4.0,360.0,,,5.0,184.0,https://www.immoweb.be/en/classified/house/for-sale/molenbeek-saint-jean/1080/20233513,residential_sale,FOR_SALE,0
20240573,Wallonie,Liège,Waremme,Meeffe,4219,Rue De Liège,355000,HOUSE,HOUSE,2024.0,AS_NEW,USA_INSTALLED,3.0,1.0,A,1,1,1,0,0,0,3.0,160.0,1.0,1.0,0.0,10014.0,https://www.immoweb.be/en/classified/house/for-sale/meeffe/4219/20240573,residential_sale,FOR_SALE,0
20233251,Brussels,Brussels,Brussels,Schaerbeek,1030,Rue Colonel Bourg,850000,HOUSE,HOUSE,1934.0,AS_NEW,HYPER_EQUIPPED,2.0,3.0,E,1,1,1,0,0,0,6.0,385.0,34.0,275.0,0.0,319.0,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20233251,residential_sale,FOR_SALE,0
20226901,Brussels,Brussels,Brussels,Brussel,1000,Baron de Vironlaan,880000,HOUSE,HOUSE,,,,3.0,,,1,0,0,0,0,0,7.0,410.0,18.0,,0.0,694.0,https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/20226901,residential_sale,FOR_SALE,0
