Property ID,Locality,PostalCode,Price,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,Kitchen,Furnished,Open_fire,Terrace_Area,Garden_Area,FacadeCount,SwimmingPool,StateBuilding,LifeAnnuitySale,RoomCount,ToiletCount,BathroomCount,ShowerCount,ScrapedURL
20234435,ANTWERPEN,2000,229000.0,APARTMENT,APARTMENT,FOR_SALE,1,52.0,1,0,0,,,3.0,0,AS_NEW,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20234435
20234434,ANTWERPEN,2000,279000.0,APARTMENT,APARTMENT,FOR_SALE,1,70.0,1,0,0,,,3.0,0,AS_NEW,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20234434
20234409,Wichelen,9260,175000.0,HOUSE,HOUSE,FOR_SALE,4,221.0,0,0,0,,,3.0,0,TO_RENOVATE,0,,1.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/wichelen/9260/20234409
20234404,Heverlee,3001,495000.0,HOUSE,HOUSE,FOR_SALE,4,187.0,0,0,0,,,2.0,0,GOOD,0,4.0,1.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/heverlee/3001/20234404
20234399,Sint-Denijs-Westrem,9051,795000.0,APARTMENT,APARTMENT,FOR_SALE,2,133.0,1,0,0,40.0,,2.0,0,,0,,2.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20234399
20234395,Zedelgem,8210,388500.0,HOUSE,VILLA,FOR_SALE,3,142.0,1,0,0,,,3.0,0,,0,,2.0,1.0,,https://www.immoweb.be/en/classified/villa/for-sale/zedelgem/8210/20234395
11342732,Brakel,9660,279000.0,HOUSE,HOUSE,FOR_SALE,3,200.0,1,0,0,45.0,1386.0,4.0,0,TO_BE_DONE_UP,0,,2.0,2.0,2.0,https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/11342732
20234389,Asse,1730,449000.0,HOUSE,APARTMENT_BLOCK,FOR_SALE,4,,1,0,0,,,2.0,0,AS_NEW,0,,2.0,2.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/asse/1730/20234389
20234387,Roeselare,8800,499000.0,HOUSE,HOUSE,FOR_SALE,5,214.0,1,0,0,,,,0,GOOD,0,16.0,2.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/20234387
20198215,Antwerpen Ekeren,2180,425000.0,HOUSE,HOUSE,FOR_SALE,5,209.0,1,0,0,15.0,150.0,3.0,0,,0,,2.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/antwerpen-ekeren/2180/20198215
20198214,SINT-KATELIJNE-WAVER,2860,1590000.0,HOUSE,EXCEPTIONAL_PROPERTY,FOR_SALE,5,564.0,1,0,1,15.0,1047.0,4.0,1,GOOD,0,,3.0,3.0,0.0,https://www.immoweb.be/en/classified/exceptional-property/for-sale/sint-katelijne-waver/2860/20198214
20198213,BRASSCHAAT,2930,275000.0,HOUSE,APARTMENT_BLOCK,FOR_SALE,1,254.0,1,0,0,,,2.0,0,TO_BE_DONE_UP,0,,2.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment-block/for-sale/brasschaat/2930/20198213
20198206,Brasschaat,2930,465000.0,HOUSE,TOWN_HOUSE,FOR_SALE,3,,1,0,0,11.0,,2.0,0,,0,1.0,2.0,1.0,,https://www.immoweb.be/en/classified/town-house/for-sale/brasschaat/2930/20198206
20198127,Antwerpen,2610,215000.0,APARTMENT,APARTMENT,FOR_SALE,3,100.0,0,0,0,17.0,,,0,TO_BE_DONE_UP,0,1.0,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2610/20198127
20198115,WILRIJK,2610,299000.0,APARTMENT,APARTMENT,FOR_SALE,2,105.0,1,0,0,13.0,,,0,GOOD,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20198115
20198096,HOBOKEN,2660,329000.0,HOUSE,HOUSE,FOR_SALE,3,131.0,1,0,0,,43.0,,0,JUST_RENOVATED,0,,2.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20198096
20198095,HOBOKEN,2660,200000.0,HOUSE,HOUSE,FOR_SALE,2,115.0,0,0,0,,81.0,3.0,0,TO_RENOVATE,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20198095
20011328,WILRIJK,2610,309000.0,HOUSE,HOUSE,FOR_SALE,2,140.0,1,0,0,,103.0,2.0,0,AS_NEW,0,,2.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/20011328
20197958,Heist-op-den-Berg,2220,399000.0,APARTMENT,APARTMENT,FOR_SALE,3,216.0,0,0,0,,,3.0,0,GOOD,0,,3.0,2.0,2.0,https://www.immoweb.be/en/classified/apartment/for-sale/heist-op-den-berg/2220/20197958
20197871,Heist-op-den-Berg,2220,399000.0,HOUSE,APARTMENT_BLOCK,FOR_SALE,3,216.0,0,0,0,,,3.0,0,GOOD,0,,3.0,2.0,2.0,https://www.immoweb.be/en/classified/apartment-block/for-sale/heist-op-den-berg/2220/20197871
